ZIPcode,Population,state,income_density,family_density,Total_Visit_lowes_density,store_type
32566,35559,FL,27.78303664,0.874209061,0,1
33351,35515,FL,21.71409264,0.879853583,16.3246234,1
37207,35497,TN,18.70262276,0.808350001,15.45212271,1
33908,35361,FL,28.00822941,0.755804417,0,1
37604,35032,TN,18.46109272,0.679236127,34.71725851,1
33594,34795,FL,22.19341859,0.887368875,0,1
34786,34328,FL,59.25425309,0.907276859,0,1
33435,34193,FL,21.1583365,0.771795397,0,1
32207,33953,FL,30.62789739,0.736842105,0,1
33133,33714,FL,52.99335588,0.772082814,0,1
37160,33625,TN,17.04686989,0.847315985,18.08324164,1
37922,33623,TN,47.58180412,0.897986497,0,1
33326,33481,FL,33.18571727,0.90086915,0,1
34209,33345,FL,20.6705653,0.794451942,0,1
34232,33261,FL,21.44755119,0.785394306,25.47638375,1
33462,33197,FL,20.31153417,0.810555171,0,1
37086,33054,TN,19.90019362,0.90566951,0,1
33156,33018,FL,63.28339088,0.872190926,0,1
32724,32996,FL,22.07964602,0.80718875,27.00260638,1
33173,32996,FL,26.05924961,0.851709298,0,1
33180,32796,FL,24.73588242,0.747316746,0,1
33143,32710,FL,42.29416081,0.801926017,0,1
33145,32332,FL,20.16373871,0.808177657,0,1
32034,32266,FL,35.17721441,0.832424224,0,1
33076,31810,FL,59.28975165,0.952247721,0,1
32578,31806,FL,28.3762812,0.890209394,0,1
34683,31688,FL,30.394692,0.807750568,0,1
37803,31565,TN,22.67989862,0.866624426,0,1
37876,31525,TN,16.34039651,0.879682791,24.22042823,1
37323,31510,TN,16.82992701,0.889114567,0,1
36532,31433,AL,26.52829829,0.863169281,0,1
33713,31421,FL,21.54113491,0.748925878,28.40288342,1
36526,31420,AL,27.7529599,0.834850414,0,1
37072,31392,TN,22.77688583,0.835021662,0,1
33073,31381,FL,25.17701794,0.877154966,0,1
32082,31350,FL,62.67620415,0.820829346,0,1
32909,31219,FL,20.98465678,0.884333259,0,1
33611,31075,FL,39.35546259,0.698761062,0,1
35603,31058,AL,21.94429777,0.837175607,0,1
33445,30461,FL,24.37789304,0.715767703,0,1
32779,30400,FL,36.76085526,0.899375,0,1
32003,30350,FL,28.14747941,0.915485997,0,1
33138,30047,FL,26.91473358,0.7711918,0,1
33325,29916,FL,28.13698355,0.888621473,20.92669475,1
33884,29845,FL,22.91415648,0.83397554,0,1
38135,29608,TN,24.21153067,0.888374764,0,1
33596,29579,FL,28.40822881,0.932519693,0,1
33185,29514,FL,24.99972894,0.93924917,0,1
35209,29463,AL,28.51454366,0.692495673,28.47636018,1
32092,29437,FL,45.03967796,0.900669226,0,1
33334,29242,FL,24.35691813,0.685418234,0,1
33328,29157,FL,31.8766677,0.875295812,0,1
33626,29066,FL,45.97165073,0.859870639,0,1
33028,28902,FL,30.72579752,0.950695454,0,1
37217,28885,TN,17.29887485,0.726328544,0,1
33308,28757,FL,39.73196091,0.58441423,0,1
34120,28748,FL,36.42173369,0.929108112,0,1
32258,28732,FL,37.64273284,0.852116107,0,1
32507,28419,FL,22.91678103,0.760617896,0,1
34119,28297,FL,48.27886348,0.855991801,0,1
32904,28229,FL,30.17319069,0.81990152,22.45318644,1
36067,28092,AL,17.28477858,0.870995301,0,1
37172,28009,TN,20.52147524,0.851190689,24.12988682,1
34772,27889,FL,24.79583348,0.930366811,0,1
35811,27871,AL,23.06727423,0.850884432,0,1
34684,27849,FL,20.65198032,0.714136953,0,1
34243,27819,FL,22.11147058,0.763866422,0,1
37659,27802,TN,21.11833681,0.844867276,20.51848788,1
38053,27752,TN,17.75655809,0.859433554,28.92274431,1
34990,27687,FL,36.03380648,0.852566186,0,1
33404,27662,FL,23.02725761,0.817981346,0,1
32533,27595,FL,23.34694691,0.877767712,0,1
37931,27364,TN,28.23015641,0.840447303,0,1
35803,27282,AL,28.87885785,0.853199912,22.89604868,1
38506,27269,TN,20.71825149,0.859767502,0,1
37379,27086,TN,23.90633538,0.899136085,0,1
33705,27082,FL,20.25105236,0.728491249,0,1
37849,27045,TN,20.86193381,0.88896284,0,1
35173,26887,AL,32.99252427,0.916130472,0,1
33441,26761,FL,21.97638354,0.707895819,0,1
32086,26757,FL,22.58175431,0.760174908,0,1
33067,26663,FL,41.16269737,0.892810261,0,1
33470,26455,FL,31.54885655,0.924513325,0,1
37206,26323,TN,33.65794172,0.679215895,0,1
32937,26254,FL,35.80414413,0.806391407,27.35240344,1
33401,25810,FL,39.25428129,0.561836497,0,1
37067,25787,TN,51.75778493,0.858068019,0,1
32168,25714,FL,22.81259236,0.787197636,0,1
33909,25644,FL,22.59955545,0.898572766,39.12786617,1
33607,25509,FL,21.39331216,0.753773178,0,1
36582,25500,AL,16.02443137,0.892784314,0,1
37355,25493,TN,18.48683952,0.854234496,0,1
35023,25407,AL,15.81426379,0.799897666,0,1
33584,25385,FL,21.4686232,0.857356707,0,1
33629,25382,FL,64.67953668,0.818060043,0,1
33625,25377,FL,27.78106159,0.855380857,0,1
35640,25359,AL,20.22930715,0.892897985,21.20426673,1
